2012,,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,
,,,,,,,,,,,,,,,,,,,
Jay Cutler QB1 WK 11-12,Bears,,,,,,,,,,,7L,28W,17L,14L,13L,28L,,WR4 Earl Bennett WK 14-16
Devin Hester WR2 WK 13-14,,,,,,,,,,,,,,,,,,,
,Bengals,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
RB 1 Fred Jackson WK 11-12,Bills,,,,,,,,,,,19,13,,,,,,
,,,,,,,,,,,,,,,,,,,
,Broncos,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
TE1 Alex Smith,Browns,,,14L,16L,27L,34W,,,,BYE,,,,,,12L,10L,
TE2 Jordan Cameron WK 16-17,,,,,,,,,,,,,,,,,,,
,Buccaneers,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
WR3 Early Doucet WK 15-17,Cardinals,,,,,,,,,,,,,,,38W,13L,13L,
,,,,,,,,,,,,,,,,,,,
,Chargers,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Kevin Boss TE WK 3-17,Chiefs,,,27W,20L,6L,10L,BYE,16L,13L,13L,6L,9L,27W,7L,0L,13L,3L,Jon Baldwin WR2 WK 11-12
QB 2 Brady Quinn WK 9-11,,,,,,,,,,,,,,,,,,,TE1 Tony Moeaki WK 16-17
,Colts,21,23,17,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Commanders,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Kevin Ogletree WR3 WK 12-13,Cowboys,,,,,,,,,,,,31L,38W,,,,,
,,,,,,,,,,,,,,,,,,,
Daniel Thomas WK 2-3 & 6-8,Dolphins,,35,20,,,17,BYE,30,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Mike Vick (QB1) WK 10-15,Eagles,,,,,,,,,,,6L,22L,33L,23W,13L,20L,7L,TE1 Brent Celek WK 15-16
LeSean McCoy (RB1) WK 12-16,,,,,,,,,,,,,,,,,,,
,Falcons,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
RB 3 Andre Brown WK 6-7,Giants,,,36,19,,26,27,,,,,,,,,,,
WR 4 Domenik Hixon WK 3-4,,,,,,,,,,,,,,,,,,,
WR 2 Laurent Robinson WK 5-8,Jaguars,,,,,3,23,15,14,,,,,,10L,3L,16L,20L,WR4 Cecil Shorts WK 14-15
RB2 Rashad Jennings WK ,,,,,,,,,,,,,,,,,,,
,Jets,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Lions,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
RB3 Alex Green WK 16-17,Packers,,,,,,,,,,,,,,,,55W,34L,
,,,,,,,,,,,,,,,,,,,
WR 2 Brandon LaFell WK 9-10,Panthers,,,,,,,,,21,14,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Julian Edelman WR3 WK,Patriots,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Darrius Heyward-Bey,Raiders,,,,6,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Rams,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Ravens,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Saints,,27,27,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Seahawks,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Steelers,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
TE2 Garrett Graham WK 14-15,Texans,,,,,,,,,,,,,,14L,29W,,,
,,,,,,,,,,,,,,,,,,,
TE2 Craig Stevens WK 17,Titans,,,,,,,,,,,,,,,,,38W,
